"Id","ProcessName","Path","CPU","WorkingSet"
"4768","MsMpEng",,,"220737536"
"8440","NgcIso",,,"1138688"
"12296","NisSrv",,,"5390336"
"1624","node","C:\Users\StabX\AppData\Local\ms-playwright-go\1.57.0\node.exe","22,265625","39956480"
"12912","node","C:\Users\StabX\AppData\Local\ms-playwright-go\1.57.0\node.exe","22,5","39743488"
"26080","node","C:\Users\StabX\AppData\Local\ms-playwright-go\1.57.0\node.exe","24,0625","41811968"
"27048","node","C:\Users\StabX\AppData\Local\ms-playwright-go\1.57.0\node.exe","24,109375","40521728"
"21752","Notepad","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2512.29.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","22","22814720"
"22668","Notepad","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2512.29.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","5,03125","712704"
"9480","OneDrive","C:\Users\StabX\AppData\Local\Microsoft\OneDrive\OneDrive.exe","102,34375","54378496"
"21612","OneDrive.Sync.Service","C:\Users\StabX\AppData\Local\Microsoft\OneDrive\26.062.0402.0002_1\OneDrive.Sync.Service.exe","38,453125","18464768"
"7348","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.10921.0_x64__8wekyb3d8bbwe\OpenConsole.exe","0,1875","2097152"
"17176","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.10921.0_x64__8wekyb3d8bbwe\OpenConsole.exe","0,265625","1044480"
"21056","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.10921.0_x64__8wekyb3d8bbwe\OpenConsole.exe","0,203125","958464"
"21876","OpenConsole",,"0,0625","9777152"
"23860","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.10921.0_x64__8wekyb3d8bbwe\OpenConsole.exe","0,15625","1048576"
"25560","OpenConsole","C:\Program Files\WindowsApps\Microsoft.WindowsTerminal_1.24.10921.0_x64__8wekyb3d8bbwe\OpenConsole.exe","0,1875","2199552"
"24844","perfmon",,"286,484375","61939712"
"12388","PhoneExperienceHost","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.26022.64.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","339,796875","45981696"
"4816","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","12,203125","5734400"
"5632","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","2018,21875","86908928"
"6296","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","13,15625","6848512"
"7136","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","4,15625","11862016"
"7912","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","13,09375","5681152"
"9584","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","13,671875","6565888"
"9884","powershell","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe","6,015625","7008256"
"11600","powershell","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell.exe","4,765625","10928128"
"12924","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,703125","79974400"
"12992","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","23,25","8069120"
"14548","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","25,03125","20631552"
"15372","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","2,5625","21139456"
"18104","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","2,390625","28585984"
"19144","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","12,890625","5836800"
"20964","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","2,953125","29941760"
"21052","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","5,53125","8638464"
"22196","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,65625","50634752"
"23908","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","10,828125","5664768"
"24316","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","4,890625","11735040"
"25140","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,28125","4079616"
"26068","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,484375","5554176"
"26256","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","9,25","5439488"
"27080","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,5","59973632"
"27420","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,484375","3923968"
"27472","powershell","C:\WINDOWS\System32\WindowsPowerShell\v1.0\powershell.exe","0,390625","55173120"
"27608","powershell",,"1,375","54185984"
"4444","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","1,53125","30994432"
"15528","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","1,40625","30085120"
"17556","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","7,84375","102711296"
"20056","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","0,34375","16166912"
"23000","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","1,8125","81014784"
"27824","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","1,546875","36270080"
"28820","python","C:\Users\StabX\AppData\Local\Programs\Python\Python313\python.exe","1,46875","35573760"
"184","Registry",,,"42700800"
"4504","remoting_host",,,"196608"
"5512","remoting_host",,"16,03125","14151680"
"4712","RtkAudUService64",,,"2879488"
"9540","RtkAudUService64",,,"3207168"
"13176","RtkAudUService64","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_9b2689b4e3586127\RtkAudUService64.exe","1,875","5439488"
"316","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","2,5625","13348864"
"9568","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","11,171875","32616448"
"12096","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","0,5","1974272"
"13132","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","0,390625","1990656"
"15936","RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","0,59375","2588672"
"9224","SearchHost","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","9,78125","67108864"
"8680","SearchIndexer",,,"27320320"
"140","Secure System",,,"57413632"
"13068","SecurityHealthService",,,"12718080"
"13028","SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","0,21875","3653632"
"1320","services",,,"7348224"
